label,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand
D,482.74,201.84,812.3,789.51,820.17,0.2848,9.8011,1.5234,-0.0815,-0.0128,-0.0058,right
X,510.66,503.7,813.78,768.72,799.04,-0.3429,9.3232,1.1588,-0.0162,0.0283,0.0423,left
P,509.03,191.74,485.26,790.57,824.86,3.1174,4.8636,7.6786,-0.0153,0.0092,-0.0054,right
N,655.05,814.66,799.51,824.62,794.13,-0.2023,9.5593,0.7943,0.0205,0.0343,-0.0618,left
V,496.75,216.53,205.15,815.15,798.52,0.4478,9.3756,2.5286,-0.0296,-0.0203,0.0494,right
V,487.07,164.04,209.34,816.14,793.21,-0.4029,8.7022,2.7675,0.0892,0.0211,-0.0436,left
M,785.09,793.9,791.14,816.65,789.82,0.038,9.6942,0.3908,0.0544,0.0662,0.0533,right
L,179.04,212.96,802.07,796.47,792.42,-0.688,8.0819,4.9143,0.0163,0.0622,-0.0587,left
F,368.14,730.0,209.06,234.8,213.79,0.4851,9.361,1.6558,0.006,-0.0241,-0.02,right
H,503.09,215.47,193.72,806.12,806.31,-5.0961,5.2157,5.6271,-0.0169,0.0581,0.0018,left
X,502.5,509.63,779.36,810.44,779.49,0.3105,9.0465,1.2319,-0.0284,-0.0185,-0.0168,right
S,741.68,807.45,819.8,803.09,785.9,-0.2962,9.7341,0.3492,-0.0201,0.0005,0.0148,left
U,501.94,185.1,158.35,792.58,807.55,-0.1597,9.4739,0.9871,0.0498,0.0147,-0.0,left
I,832.29,769.13,812.06,816.51,213.52,-0.0443,9.7305,0.4387,0.0129,0.0359,0.0068,left
W,489.16,182.59,195.58,201.31,798.98,-0.344,9.1337,1.5096,-0.075,-0.0655,0.0206,left
A,679.07,805.95,797.34,811.65,792.07,0.2693,9.7702,0.5831,-0.027,-0.0735,0.0471,right
X,509.64,490.09,766.25,797.89,803.02,0.556,9.1935,1.3346,0.1228,0.1075,-0.0397,right
Z,488.77,200.35,801.67,782.38,818.46,0.6467,8.8659,2.1029,2.519,1.4704,0.963,right
I,786.64,789.14,824.04,825.75,206.54,-0.3362,9.8399,0.4004,-0.0361,-0.0049,-0.0455,left
J,807.35,809.09,802.54,805.46,218.56,-0.1744,9.718,0.4667,3.0146,0.4504,1.9302,right
I,811.86,789.62,804.81,786.49,200.74,0.2705,9.8438,0.2948,-0.0783,0.0323,0.0345,right
L,220.4,215.54,800.96,803.27,804.53,-0.3717,7.9813,5.0881,0.0711,-0.0436,-0.0105,left
L,209.74,187.64,837.9,818.28,782.27,-0.3551,7.8959,4.7725,0.0411,0.0485,-0.0144,left
L,186.55,207.31,794.53,823.92,797.93,-0.5169,8.0189,4.9203,-0.0446,-0.0088,-0.0155,left
G,506.36,159.77,796.62,790.34,780.61,4.9215,4.6625,5.7866,-0.0123,0.0486,0.0283,right
M,804.04,814.11,802.61,793.91,815.04,0.4956,9.5878,0.5246,0.0011,-0.0253,-0.068,right
I,815.1,808.63,791.25,784.37,219.36,0.1282,9.5923,0.3471,-0.0026,-0.0889,0.0241,right
N,673.83,798.7,793.56,779.18,809.33,0.359,9.7309,0.5407,0.0457,0.0325,0.0863,right
G,506.2,210.24,771.06,816.02,792.33,-4.9024,4.654,5.9349,-0.085,-0.0074,0.0091,left
U,499.21,210.07,199.97,784.28,789.37,-0.0709,9.4881,1.0592,-0.0053,0.0045,-0.012,right
V,499.81,199.94,197.91,815.8,764.45,-0.3693,8.932,2.5397,0.0225,0.1449,0.092,left
P,500.51,214.59,476.99,804.05,798.93,3.1221,5.0751,7.49,-0.0082,-0.0512,0.0696,right
H,522.04,213.24,209.38,812.6,824.08,5.2162,4.9885,5.3376,-0.0099,0.0009,-0.0354,right
K,479.11,221.46,390.75,801.21,784.5,1.2813,9.0261,2.9319,-0.0176,-0.0079,-0.0883,right
C,502.36,455.52,517.91,501.77,489.11,0.3743,8.3146,3.8604,0.0635,-0.0202,-0.0223,right
W,530.9,196.23,203.12,222.41,796.36,0.282,9.3975,1.2649,-0.0839,0.0405,0.0552,right
I,819.64,794.62,803.0,813.83,214.47,0.2512,9.8028,0.4518,-0.0797,0.0732,-0.0169,right
E,634.44,690.53,686.06,653.74,662.82,-0.1496,9.741,0.8478,-0.0594,-0.0681,0.0251,right
W,496.58,202.71,187.31,209.74,804.49,0.3024,9.2626,1.1889,0.0603,0.0371,-0.0006,right
C,484.07,502.4,495.68,487.58,491.51,-0.0401,8.7188,4.1931,-0.045,-0.0603,0.0736,left
Q,511.57,176.76,802.18,816.35,806.13,-2.9241,5.674,6.9249,-0.048,-0.0122,0.0021,left
R,532.82,191.06,235.8,806.78,819.12,-0.3048,9.4633,1.7815,0.0619,-0.0776,0.0571,left
O,590.06,563.1,557.23,534.56,566.07,-0.2495,8.9089,2.8497,-0.0541,-0.0298,-0.0823,left
B,734.46,198.08,174.5,199.32,191.63,0.4431,9.768,0.1317,0.0494,-0.0078,0.0127,left
J,801.14,790.06,793.78,811.53,217.31,-0.1039,9.6496,0.237,2.9975,0.5137,2.0314,left
P,494.93,195.71,499.96,820.26,799.2,2.6461,5.0094,7.6703,-0.0051,0.0298,0.0037,right
M,799.39,771.43,821.43,809.88,799.91,0.2569,9.5103,0.8426,0.0085,-0.0412,0.0538,right
L,182.34,209.98,793.98,812.92,824.56,0.6921,8.2462,4.9372,-0.0256,0.0564,-0.0771,right
Z,489.08,211.71,813.52,766.34,809.7,-0.2549,8.9783,1.8831,2.4676,1.408,1.0894,left
X,509.26,519.37,821.81,815.71,816.31,0.5176,9.3843,1.1638,-0.0075,0.0276,-0.0202,right
U,501.62,191.36,210.73,790.3,793.08,0.3773,9.443,1.1079,0.0304,0.0063,0.0418,right
U,503.37,209.94,230.92,758.45,781.15,0.0605,9.5595,1.031,0.0065,0.0998,-0.0684,right
W,524.41,201.85,165.23,187.98,785.97,0.073,9.3987,1.4257,0.0757,-0.0463,-0.0257,right
W,467.98,209.74,181.21,186.09,809.7,-0.1711,9.4188,1.5915,-0.0767,-0.0301,-0.0066,left
A,691.09,817.72,791.51,812.19,792.05,0.1931,9.6641,0.2634,-0.0515,0.0035,0.0772,right
L,195.16,190.7,823.81,805.28,784.24,0.5031,8.0053,5.1866,0.0828,-0.0065,0.0194,right
X,497.27,501.82,807.84,795.3,788.52,-0.5066,9.3386,0.9973,0.0263,-0.0535,0.0273,left
Y,203.23,796.73,801.82,814.87,203.1,-0.0215,8.7114,3.8596,-0.0844,0.0569,-0.0363,right
H,517.78,211.18,189.41,789.6,811.05,-5.0801,5.2143,5.5635,-0.0378,0.0141,0.0256,left
U,507.11,198.87,182.36,798.86,787.37,-0.0868,9.667,1.0871,0.06,-0.0689,-0.0152,left
S,770.76,805.76,792.07,808.25,823.05,-0.1979,9.4417,0.3366,0.0395,-0.0329,0.097,left
T,610.06,806.34,838.11,794.04,821.7,-0.1479,9.5226,0.4765,0.0064,-0.0008,0.0326,left
K,513.09,213.47,368.55,794.99,800.5,-1.1497,8.9866,3.0094,0.036,-0.0954,-0.0162,left
J,814.02,798.38,803.42,788.19,191.29,0.2309,9.6448,0.2462,3.0241,0.5949,2.0335,right
O,551.63,566.22,559.86,560.3,560.08,0.2341,8.8762,3.2232,-0.0562,-0.0394,0.0024,right
Z,507.46,161.62,814.17,791.42,789.14,0.548,8.8234,2.1999,2.5206,1.4283,1.0231,right
O,544.62,534.68,569.06,571.82,568.43,0.2055,9.1057,2.9633,-0.0399,0.0028,0.0037,left
E,644.04,674.83,661.51,663.21,675.38,-0.1716,9.5235,0.7247,0.0503,0.0455,-0.0499,left
J,809.1,793.44,796.2,796.42,207.7,-0.1524,9.5526,0.5691,2.9565,0.4702,1.9471,right
Q,506.66,172.08,775.85,776.58,774.53,2.7402,5.3009,6.9409,-0.0878,-0.0216,0.0009,right
C,491.72,483.22,481.66,516.41,505.77,-0.522,8.7186,4.1174,-0.0128,0.0187,0.0022,left
T,640.17,817.15,786.33,803.4,791.56,0.0581,9.5098,0.4568,-0.0264,0.1043,0.0131,left
U,502.16,196.59,192.37,828.01,790.04,-0.1971,9.2543,1.0491,0.0609,0.05,-0.0271,left
I,801.15,804.7,798.59,835.36,198.22,0.1653,9.7657,0.1453,-0.0269,0.0168,0.0571,right
I,792.42,804.19,815.98,799.24,220.14,0.1331,9.7684,0.4362,0.0486,0.0402,0.0654,right
X,494.87,497.87,768.09,802.43,813.97,-0.4355,9.405,1.4142,0.1034,0.0414,-0.0204,left
M,811.58,807.96,791.82,770.27,790.42,0.2002,9.5124,0.6624,0.0705,-0.0064,-0.0446,right
A,675.52,814.22,822.15,782.05,776.27,-0.1581,9.7987,0.1952,-0.0398,0.0029,-0.0494,left
R,504.56,197.59,264.33,813.89,768.62,0.2579,9.156,1.6713,0.0142,0.1115,0.0614,right
O,557.97,551.31,556.53,557.28,568.06,-0.0087,8.9574,3.179,-0.0836,0.0053,-0.0765,right
F,360.88,726.45,185.69,180.33,190.31,0.4364,9.4369,2.1702,0.0098,0.014,0.0143,right
I,793.99,792.7,805.42,783.4,206.41,-0.124,9.4476,0.5129,-0.0805,0.0486,0.0061,left
Q,508.44,201.22,776.93,787.85,797.47,2.8022,5.4808,7.027,-0.0186,0.0539,-0.0463,right
W,522.31,199.21,180.18,171.83,811.58,0.1625,9.1742,1.5583,-0.0197,-0.0273,-0.0325,right
T,604.91,795.65,801.44,785.45,833.22,0.2098,9.5492,0.6748,-0.0276,0.0267,0.0709,right
B,747.77,175.51,195.95,174.26,203.87,-0.0718,9.794,-0.1616,-0.0029,0.0842,0.0235,left
W,501.98,208.47,202.34,184.21,781.62,0.1152,9.4497,1.4097,-0.0344,0.0071,0.048,right
M,815.26,811.74,790.11,791.85,825.71,-0.2125,9.6303,0.3696,-0.0144,-0.0025,0.0405,left
D,493.25,233.62,779.51,818.9,808.58,0.2168,9.5468,1.7442,0.0282,-0.0931,-0.0198,right
L,190.58,201.99,827.05,803.72,781.08,0.5531,7.861,5.0602,0.0192,-0.0329,-0.0317,right
S,730.31,827.06,779.72,800.12,802.04,0.0892,9.4357,0.3597,0.0483,0.0031,-0.0348,right
I,794.65,783.11,819.68,842.64,182.12,-0.0154,9.7103,0.4792,0.148,0.0364,0.0476,right
N,682.06,807.04,794.58,804.63,809.29,-0.3415,9.515,0.4558,-0.023,0.073,0.0149,left
D,504.82,186.87,783.84,800.75,780.1,0.1823,9.4445,1.5639,-0.0103,0.0097,-0.0412,right
C,494.04,502.98,462.84,500.35,497.27,0.4066,8.5482,4.0513,0.0044,0.0145,-0.0576,right
V,514.82,207.58,189.7,793.64,802.38,0.5104,9.107,2.7359,-0.0025,0.0219,0.0158,right
O,577.1,578.18,558.87,581.93,552.67,-0.1371,9.0842,2.9435,0.0117,0.0194,0.0391,right
X,528.97,470.77,795.12,787.36,792.43,-0.6119,9.4705,1.1586,-0.0053,0.0218,-0.007,left
K,499.55,219.98,403.46,803.89,782.72,-0.8141,8.9504,3.2271,-0.0227,0.0508,0.0635,left
F,376.38,727.48,215.2,203.06,188.95,-0.498,8.8486,2.1095,0.009,0.0415,0.0668,left
I,799.53,792.89,792.33,789.92,237.77,0.155,9.7988,0.5368,0.065,0.0675,-0.0953,left
B,764.84,201.21,206.6,213.1,194.93,-0.1692,9.9359,-0.0353,0.0894,0.0435,0.0094,right
D,496.29,211.87,797.19,779.99,783.54,0.4673,9.6374,1.4961,0.0384,-0.0274,0.0459,right
M,816.06,790.56,817.04,825.8,774.51,-0.0848,9.7471,0.5455,-0.0395,0.0685,0.0029,left
U,513.97,223.36,199.03,797.04,773.15,-0.0137,9.5238,0.7508,-0.0305,0.0503,-0.0327,left
Q,507.57,183.55,811.39,807.2,792.17,2.7429,5.4514,6.9269,0.0259,0.0592,-0.0032,right
T,607.78,796.78,795.0,792.04,779.32,-0.2094,9.6374,0.4229,-0.0371,0.0304,0.0483,right
X,494.97,506.46,814.09,820.25,787.33,0.3411,9.3736,0.8174,0.0809,0.0747,0.0121,right
L,205.53,234.77,789.98,811.86,779.54,0.6029,7.8375,4.7359,0.0055,-0.0252,-0.0587,right
B,725.57,173.48,176.43,195.73,222.57,0.0332,9.9593,0.2124,0.0473,0.0475,-0.0057,left
K,517.33,214.85,379.58,796.96,829.28,-1.0395,8.9553,2.9302,-0.0374,0.0005,-0.0076,left
R,483.08,201.15,280.16,809.98,813.22,-0.5206,9.2968,1.972,-0.058,0.0215,-0.0611,left
G,506.1,170.7,791.74,810.58,779.81,4.928,5.2165,5.9746,-0.0208,-0.0816,-0.0449,right
V,494.97,189.49,215.61,821.54,811.68,0.763,9.1798,2.3861,0.0118,0.0157,-0.0474,right
W,470.62,187.9,219.53,217.27,801.44,0.306,9.3692,1.6295,0.0795,0.0282,-0.0208,right
S,734.94,817.78,772.53,775.68,806.16,0.0142,9.6067,0.194,-0.1097,0.0517,0.0302,left
G,514.27,190.59,804.67,806.31,823.6,4.835,4.8758,5.9818,0.0191,0.0059,0.0229,right
X,512.35,529.34,815.63,800.07,818.92,-0.4426,9.5203,1.2381,0.0476,-0.0375,0.0167,left
I,796.78,793.88,823.22,809.37,219.8,-0.091,9.7675,0.3947,-0.006,-0.0008,-0.1175,left
I,815.53,809.15,804.39,806.34,191.3,0.1069,9.6405,0.3106,-0.0334,0.0258,-0.0286,right
C,489.59,499.8,499.33,492.08,501.16,0.3337,8.7239,4.231,0.0045,0.061,-0.1359,right
M,777.6,788.12,786.22,774.52,796.09,0.1112,9.5368,0.3419,0.0351,-0.0663,-0.0176,right
K,502.5,209.17,360.05,811.78,821.68,0.8367,8.9507,2.9446,0.0719,0.0564,-0.0148,right
Z,485.11,208.14,789.77,790.77,794.31,-0.4526,9.062,2.1459,2.5474,1.5254,0.991,left
Q,505.96,194.43,799.08,817.12,825.04,2.9852,5.3151,7.0663,-0.0622,0.0318,0.0389,right
Y,213.76,792.52,807.03,824.74,195.43,-0.313,8.7745,3.8098,0.0036,0.0186,-0.0556,left
V,496.63,207.89,196.78,777.14,803.57,0.4359,8.9664,2.5218,-0.0423,0.0532,0.014,right
L,190.49,188.25,823.41,799.37,799.22,-0.4491,7.9665,4.9837,-0.0113,-0.0553,-0.0429,left
Q,514.17,201.51,831.09,778.9,776.42,2.899,5.3499,7.0472,0.016,-0.068,-0.046,right
I,795.96,825.21,798.46,785.76,211.62,-0.1477,9.9266,0.4999,0.0927,-0.0208,0.0164,left
Z,498.51,211.8,789.88,771.44,803.75,0.3885,9.0942,2.147,2.4929,1.4427,0.9962,right
A,665.88,789.88,810.87,809.21,827.08,0.075,9.7074,0.6111,-0.0185,-0.0083,-0.0104,right
R,517.1,197.34,252.71,808.09,793.29,-0.1993,9.5734,1.7189,0.0726,0.0991,-0.0084,left
Z,514.02,208.25,817.89,804.01,799.75,-0.3925,8.9701,1.8914,2.5331,1.3982,0.9414,left
V,498.33,213.0,197.75,775.39,810.24,0.6749,9.1983,2.6775,0.0067,-0.0207,0.0155,right
W,477.88,218.22,200.42,195.32,771.71,0.2085,9.4944,1.6625,-0.055,0.0139,-0.0378,right
U,487.79,215.36,218.67,835.04,793.53,-0.0018,9.5429,1.2711,0.0024,-0.023,-0.0144,right
T,618.81,808.64,816.48,822.27,772.45,-0.055,9.5853,0.6734,-0.0607,-0.0581,0.0794,right
A,691.0,798.66,778.1,819.81,788.88,0.1698,9.3729,0.5561,-0.1096,0.1014,0.0191,right
M,812.28,793.43,806.58,820.53,793.29,-0.1454,9.5859,0.6525,0.0133,0.0301,-0.0294,left
C,497.21,506.25,520.71,525.67,486.35,-0.0986,8.6322,4.0433,0.0368,-0.0314,-0.0603,left
T,629.92,803.04,789.76,778.36,800.94,0.0479,9.3467,0.3343,-0.0592,-0.041,0.1306,right
Q,495.17,207.59,819.88,810.87,791.3,3.1634,5.2628,7.385,-0.1101,0.0116,-0.0168,right
T,627.85,800.66,818.41,802.23,823.49,-0.0251,9.5247,0.5821,0.0442,0.0113,-0.0284,left
N,673.44,780.62,818.83,795.08,798.12,-0.4301,9.328,0.913,-0.029,0.0307,-0.0627,left
Y,203.49,824.31,824.14,784.03,189.97,-0.2639,8.8331,3.8659,-0.0525,-0.0551,0.0059,left
B,740.77,212.72,185.03,178.88,189.5,-0.0645,9.8367,0.3318,0.0058,0.022,-0.0658,right
O,570.52,582.15,554.41,540.08,551.63,0.2177,9.0937,3.1935,0.0089,-0.0065,0.0079,left
K,492.15,217.0,390.97,808.44,768.84,-0.8045,8.9396,3.0052,0.0817,-0.0504,-0.0423,left
T,635.81,795.08,787.56,793.24,798.49,0.1232,9.5989,0.4889,0.0173,0.0227,0.026,right
T,636.92,760.33,820.83,791.43,824.03,-0.3347,9.5323,0.513,0.0006,0.011,-0.0542,left
E,619.54,674.36,690.36,686.59,696.0,-0.2921,9.3771,1.1147,-0.0113,0.0673,0.0394,right
Z,540.78,204.8,811.88,794.07,818.2,-0.6166,9.0303,1.8493,2.4766,1.4147,1.0059,left
U,530.17,202.42,192.29,827.58,772.88,0.2465,9.8383,0.9677,0.0088,0.0679,-0.0029,right
R,519.58,190.57,256.0,795.1,795.34,-0.303,9.1441,1.8171,0.0007,-0.0985,-0.0207,left
N,687.57,814.6,802.59,796.6,787.26,-0.3939,9.3474,0.3361,0.0508,0.0266,0.0003,left
P,499.18,174.0,512.94,833.37,786.51,3.0358,4.9642,7.6065,-0.0313,-0.0548,0.0409,right
N,669.94,795.59,795.67,779.65,801.16,0.5927,9.2607,0.6835,0.0544,0.0152,-0.0872,right
R,518.32,198.64,265.15,769.24,801.82,-0.5019,9.1496,2.2089,-0.0774,0.0092,0.0123,left
V,540.7,205.25,183.61,818.99,787.74,-0.4408,9.2285,2.5534,-0.1042,0.0381,-0.0314,left
H,508.95,182.5,218.07,785.79,817.04,-4.8545,5.2046,5.4048,0.017,0.0165,-0.0489,left
E,643.73,682.79,667.64,662.03,672.61,-0.1845,9.7369,1.0557,0.0338,-0.0697,0.0104,left
D,527.98,216.81,814.75,795.43,797.94,0.203,9.0444,1.2943,-0.0217,0.0669,0.0331,right
M,813.76,825.92,774.93,826.1,825.48,0.4978,9.648,0.6625,-0.0271,0.0512,0.0163,right
O,526.19,564.55,557.5,557.29,576.11,-0.2118,8.752,3.1122,0.0082,-0.0501,0.0345,right
X,472.05,490.6,801.12,809.15,794.24,-0.2313,9.4008,1.206,0.0364,-0.0008,0.0473,left
C,490.65,471.65,495.7,524.72,512.47,0.3162,8.5051,4.1375,0.0537,0.026,0.0119,right
A,654.39,777.54,776.6,792.18,789.74,-0.084,9.7717,0.4928,-0.0216,-0.0232,0.0796,right
E,617.48,673.16,676.94,680.99,684.75,0.1803,9.6523,0.9749,-0.0031,0.0574,-0.0035,left
K,512.69,207.44,394.22,819.27,780.95,-0.8356,9.1966,3.0,0.0519,0.0133,0.0405,left
C,500.35,493.66,505.74,526.88,487.59,-0.6141,8.3917,3.9908,-0.052,-0.0226,0.0467,left
B,748.13,214.07,177.16,207.88,217.61,-0.1093,9.6034,0.2852,0.0044,-0.0166,-0.0243,left
U,472.45,190.76,198.66,822.19,826.74,-0.0664,9.5418,0.8717,-0.0706,0.0295,0.0025,left
M,794.55,784.55,794.46,790.9,795.18,0.1435,9.7419,0.4999,0.0181,0.0407,0.0361,right
I,799.11,780.02,791.24,793.23,196.77,0.0961,9.7607,0.4371,-0.0466,-0.0493,0.127,left
F,397.05,753.9,191.59,217.01,202.69,0.4026,9.2,2.2161,-0.0375,-0.0855,-0.0128,right
O,569.38,560.12,588.77,592.01,544.72,0.1695,9.0654,2.8751,-0.0129,-0.0063,0.035,right
B,751.41,223.17,174.88,200.93,201.02,-0.1634,9.9719,0.1113,-0.0462,-0.0526,0.0462,right
Y,214.16,811.23,767.6,827.06,184.38,0.1829,8.9679,4.0996,0.0228,-0.0437,-0.0505,right
S,749.18,792.86,787.62,801.0,811.22,0.2479,9.5851,0.524,0.0166,0.0692,0.0367,left
Q,497.68,175.64,815.3,788.29,781.36,2.8499,5.3385,6.9826,0.0972,0.0513,-0.0363,right
P,520.06,230.2,491.28,808.86,806.75,-3.0688,5.0577,7.2673,-0.0426,0.0459,0.0126,left
N,674.1,781.1,778.31,823.65,805.33,-0.211,9.1754,0.6248,-0.0015,-0.0406,-0.0561,left
X,486.07,497.7,784.13,787.53,811.74,0.4239,9.6428,1.2607,-0.0077,0.0677,0.0361,right
K,488.02,227.09,376.81,798.8,789.04,1.075,8.9454,3.1965,-0.0525,-0.016,0.0088,right
P,502.46,193.64,515.05,772.87,802.82,-3.2707,4.947,7.6252,0.0225,-0.0117,0.0479,left
C,497.93,481.25,502.44,491.79,503.01,0.2864,8.294,3.945,-0.0024,-0.0065,-0.0429,right
H,490.85,198.93,209.81,788.09,804.01,-4.9394,4.8334,5.4612,0.1131,0.0522,0.0175,left
S,750.74,766.43,792.27,787.88,778.45,0.2045,9.8744,0.3848,0.0399,-0.0225,-0.0083,right
J,805.2,771.53,797.93,820.79,225.73,0.2565,9.7238,0.5316,3.0583,0.5155,2.1016,right
B,728.91,204.0,210.55,190.0,196.18,0.1243,9.7786,0.1752,0.0331,-0.0122,-0.0419,left
W,511.76,195.26,216.0,169.42,807.96,-0.1717,9.1276,1.543,-0.0968,0.0051,0.0093,left
T,632.23,819.67,822.12,808.15,791.57,-0.2069,9.719,0.6876,0.0559,0.0055,0.0433,left
U,483.06,194.12,198.22,806.86,809.05,0.199,9.4759,0.9525,0.0425,-0.0352,-0.0213,right
P,505.9,205.33,487.55,828.91,794.39,3.053,5.0165,7.2967,-0.012,-0.0076,0.0409,right
G,504.66,211.35,802.6,795.61,784.55,5.3432,4.9896,6.1362,0.0119,-0.0147,-0.0557,right
F,364.89,742.09,196.18,172.83,209.71,-0.4542,9.0285,2.1523,0.0047,-0.025,-0.1508,left
Y,188.23,787.59,787.82,805.96,206.57,-0.125,8.614,4.0161,-0.0165,-0.0099,0.0598,left
S,752.15,785.43,801.26,819.28,799.17,-0.4257,9.7922,0.0655,0.0099,0.0523,0.0004,left
K,484.29,194.54,369.56,815.97,822.4,0.9874,8.8784,3.0973,0.0969,0.094,-0.03,right
M,790.08,774.5,810.03,807.69,809.96,0.4888,9.5347,0.4396,0.0056,-0.1681,-0.0621,right
Y,217.03,785.95,777.18,793.82,193.83,-0.1942,9.0249,3.8372,0.0444,-0.0231,-0.0488,left
P,508.86,159.75,497.4,809.98,806.74,-2.8899,4.9965,7.5318,0.0364,0.0453,0.0336,left
D,486.58,209.0,817.97,808.02,778.23,0.2308,9.4815,1.3887,-0.1156,-0.0593,-0.025,right
D,495.15,163.75,814.18,795.26,838.85,0.186,9.6995,1.5412,0.1151,-0.0623,0.0117,right
I,833.14,782.66,798.95,791.27,178.55,-0.2999,9.4216,0.3899,-0.0371,0.0894,0.0197,left
L,221.76,213.95,799.13,816.82,807.28,-0.4854,7.9475,4.9192,0.0424,0.0512,-0.0339,left
K,526.74,194.88,389.11,796.28,764.61,-0.9706,9.0068,3.0649,-0.0085,-0.0462,0.0345,left
E,624.32,673.2,676.72,649.41,666.24,0.0327,9.5351,0.9786,0.0307,0.061,0.0539,left
J,827.64,787.86,798.4,826.25,227.91,0.3333,9.8194,0.4609,2.9305,0.4405,1.9962,right
U,504.08,199.13,196.91,816.95,791.04,-0.0281,9.3446,0.9876,-0.0006,0.0365,0.0427,right
H,511.29,196.28,192.07,817.31,803.33,-4.9855,4.7781,5.2529,0.0631,0.0074,-0.0198,left
B,727.21,219.51,220.35,181.06,193.67,0.0088,9.7216,-0.1019,-0.0018,0.0296,-0.0527,left
V,491.31,204.07,187.84,801.75,823.11,-0.4417,8.9639,2.4684,0.0042,-0.0653,0.0023,left
Y,184.83,802.46,814.18,783.62,200.33,0.1298,8.8604,3.8536,-0.0084,-0.0212,-0.0504,right
L,183.78,214.6,815.21,797.52,786.36,0.3425,8.1344,5.1596,0.0676,-0.0005,-0.0135,right
W,489.87,218.64,189.28,176.72,769.74,-0.1801,9.1653,1.6682,-0.0685,-0.0108,-0.037,left
H,526.46,171.38,186.11,789.65,770.21,-5.2745,4.8561,5.6723,-0.0184,-0.0466,-0.0084,left
Z,501.99,195.05,794.81,790.01,798.35,0.3408,8.9908,2.0239,2.5178,1.4856,1.0105,right
W,523.87,195.23,195.51,205.07,808.72,-0.5139,9.4679,1.4868,0.0754,0.0268,0.0833,left
M,780.18,820.63,807.97,802.3,800.54,0.4228,9.716,0.4938,-0.0902,-0.0428,-0.0238,right
E,618.48,662.82,673.34,688.17,674.61,0.0042,9.5697,0.8325,0.0293,0.1052,-0.0362,right
Q,503.07,186.35,812.35,823.15,799.65,-3.1905,5.4714,6.7751,-0.0582,0.0003,-0.0058,left
Z,500.47,192.03,811.18,818.57,810.25,-0.5394,9.0181,1.7389,2.4337,1.5318,1.0177,left
I,792.01,778.17,809.46,818.44,229.15,0.3094,9.5531,0.4214,0.0379,-0.1055,0.0158,right
I,775.78,806.53,812.77,809.37,210.41,0.2666,9.7552,0.5901,0.1161,-0.0396,0.0642,right
R,502.6,209.17,269.11,782.03,786.94,0.2657,9.307,1.7289,-0.0775,0.0032,-0.009,right
M,814.73,783.58,789.25,811.21,805.07,0.2771,9.9582,0.4484,-0.0046,-0.0911,0.0428,right
C,503.32,533.25,482.52,490.94,503.91,-0.5743,8.5252,4.3056,0.0604,-0.0054,-0.0343,left
Z,495.43,201.03,822.39,779.93,785.15,0.3204,9.1875,1.8629,2.499,1.3848,1.0623,right
Q,510.6,191.96,774.65,829.24,807.22,2.7138,5.3724,6.9671,0.0366,-0.0146,0.0578,right
W,486.46,181.01,200.56,164.81,826.37,0.2629,9.3591,1.4196,-0.0528,-0.0121,-0.0375,right
F,388.87,746.48,194.67,214.86,192.77,0.4383,9.2528,1.96,-0.0694,0.0332,-0.0051,right
C,477.73,522.42,468.26,510.64,495.59,-0.2573,8.7979,3.9317,0.0665,0.0736,0.1155,left
D,493.75,175.41,781.67,792.44,822.09,-0.2832,9.3544,1.2176,-0.1001,-0.0217,-0.0071,left
U,513.31,218.91,183.25,806.51,794.19,0.24,9.5892,0.9105,-0.1347,0.0798,-0.0047,right
M,763.87,790.7,793.89,811.54,801.28,0.3019,9.5485,0.749,-0.0155,0.1163,0.0096,right
O,584.33,554.9,527.41,531.18,532.82,0.0483,8.5356,3.0719,0.039,-0.0757,-0.0106,left
U,505.11,211.23,223.92,802.25,774.96,0.0203,9.2115,1.0855,0.0299,0.006,-0.0044,right
V,472.44,215.01,180.62,803.02,798.8,0.5606,9.1787,2.5182,-0.0594,-0.003,-0.0282,right
Y,216.98,783.58,780.43,804.93,229.61,0.4057,8.4957,4.0454,-0.0542,0.1072,-0.0591,right
G,518.19,215.54,808.32,811.16,803.52,-4.8825,5.1271,5.785,0.0283,-0.0578,-0.0179,left
M,815.19,815.81,786.26,815.47,796.41,-0.3672,9.5976,0.3068,0.0116,0.0332,0.0819,left
F,381.22,756.11,193.3,192.15,198.65,-0.6373,9.0423,1.8038,0.0226,0.0202,-0.0341,left
O,518.46,562.83,552.8,560.37,575.32,0.0103,9.2055,3.2608,-0.0702,-0.0007,0.0039,left
I,778.62,784.05,811.95,814.74,189.43,-0.041,9.8458,0.455,-0.0335,-0.0422,0.124,left
H,509.69,165.42,189.04,800.43,746.63,4.8009,4.9264,5.5904,-0.0137,-0.0278,0.0376,right
S,736.36,802.85,803.73,792.61,813.81,-0.0347,9.5949,0.7109,-0.0591,-0.0301,-0.0539,right
P,515.06,171.77,530.36,792.21,806.14,-2.9439,4.9304,7.3063,-0.0343,0.053,0.0164,left
A,664.45,809.16,783.47,819.76,785.1,-0.2147,9.7184,0.5037,0.0712,0.006,-0.0604,left
Y,195.6,796.08,805.33,793.99,198.74,0.1105,9.0708,3.958,-0.0023,0.033,-0.0339,left
